source_path,serviceName,seq,title,startDate,endDate,place,realmName,area,sigungu,thumbnail,gpsX,gpsY
period2,공연,377920,"제55회 목멱예술제: 우리가락, 우리춤",20260520,20260522,국립국악원 예악당,음악/콘서트,서울,서초구,http://www.culture.go.kr/upload/rdf/26/04/rdf_202604282120646629.png,127.00885231238765,37.47792836940147
period2,공연,379634,[춘천] 라루스코트 기그 동물원,20260520,20260520,아트팩토리 봄,연극,강원,춘천시,http://www.culture.go.kr/upload/rdf/26/05/rdf_202605122119713068.png,127.7197070888261,37.81796396636062
period2,공연,376774,"제8회 놀터청년페스티벌, Into the Abyss: 어느 살인자의 이야기",20260520,20260524,놀터예술공방,연극,서울,성북구,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042021171420848.gif,127.00701994332621,37.5894949373048
period2,공연,377772,벚나무 동산,20260520,20260524,뜻밖의 극장(구. 해우소소극장),연극,서울,성북구,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042721171573592.gif,127.01813935337991,37.59248504634353
period2,공연,380316,"제47회 서울연극제, 나도향 소설전: 물레방아 &amp; 벙어리 삼룡이",20260520,20260524,열린극장,연극,서울,종로구,http://www.culture.go.kr/upload/rdf/26/05/rdf_2026051821172294579.gif,127.00046984646458,37.583634186407
period2,공연,378470,잘 알지도 못하면서,20260520,20260524,북촌창우극장,연극,서울,종로구,http://www.culture.go.kr/upload/rdf/26/05/rdf_2026050521171808677.gif,126.9888687406397,37.57889668817949
period2,공연,380672,[대전] 유실물,20260520,20260524,드림아트홀 [대전],연극,대전,중구,http://www.culture.go.kr/upload/rdf/26/05/rdf_2026052021172234298.gif,127.42044379336853,36.32440197656915
period2,공연,373001,배종선 플루트 독주회,20260520,20260520,예술의전당 [서울] 리사이틀홀,음악/콘서트,서울,서초구,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202603/1da45a518be246f395a7c95318f4312d.jpg,127.01421162103271,37.48023893523679
period2,전시,380582,제14회 서울미디어시티비엔날레 사전프로그램 《포란》,20260520,20260705,서울시립미술관 남서울미술관,전시,서울,관악구,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202605/b8e3d0efe69144be90c1daeaaabecf9e.jpg,126.97949210876725,37.4759852455232
period2,공연,379924,﻿2026 대전테미예술창작센터 오픈스튜디오&middot;전시,20260521,20260528,대전문화재단,전시,대전,중구,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202605/171dbebb42744b88a7ac0564a1c56122.jpg,127.41602959399,36.3223753529391
period2,공연,379141,[안산] 안산시립국악단 기획연주회 2026 목요보노음악회,20260521,20261217,보노마루,음악/콘서트,경기,안산시,http://www.culture.go.kr/upload/rdf/26/05/rdf_202605092117883292.gif,126.86731224129522,37.30127634104645
period2,공연,380557,"[목포] 제46회 목포시립무용단 정기공연, The Return",20260521,20260521,목포시민문화체육센터 대공연장,뮤지컬/오페라,전남,목포시,http://www.culture.go.kr/upload/rdf/26/05/rdf_2026051921191252916.png,126.43803839416897,34.81206911731505
period2,교육/체험,378599,2026년 봄 특강 《AI공포라디오쇼: 우리는 새로운 기술로 어떤 예술을 할 수 있을까?》,20260521,20260521,,교육/체험,서울,,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202605/0348d20b59104934af786c932efd5c58.png,,
period2,교육/체험,380280,"5월 국회문화극장 &lt;국립창극단과 함께 하는 &#39;우리 소리,판소리&#39;&gt;",20260521,20260521,,교육/체험,서울,,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202605/fa8bbd28a8304fb08d8c5f70d91efad2.jpg,,
period2,교육/체험,376850,2026 도슨트 양성 프로그램 [기본과정],20260521,20260618,,교육/체험,대구,,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202604/53e20f40f017490b8b487e5597592ac6.JPG,,
period2,공연,379498,제59회 한국가곡연구회 정기연주회,20260521,20260521,세종문화회관 세종체임버홀,음악/콘서트,서울,종로구,http://www.culture.go.kr/upload/rdf/26/05/rdf_202605122117987321.png,126.97584322994113,37.57271617146049
period2,공연,377466,콰르텟21 제65회 정기연주회,20260521,20260521,예술의전당 [서울] IBK기업은행챔버홀,음악/콘서트,서울,서초구,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202604/bad2a17dd99d446d8af412606497f9d7.jpg,127.01421162103271,37.48023893523679
