region_code,region_name,province,population,youth_ratio,elderly_ratio,single_household_ratio,event_count,program_diversity,free_event_ratio,youth_program_ratio,elderly_program_ratio,tourism_program_ratio,resident_program_ratio,museum_count,facility_type_count,museum_free_ratio,transport_info_ratio,festival_count,festival_type_count,festival_budget,visitor_total,bus_stop_count,facility_count,facility_per_10k,event_per_month,regular_program_score,public_transport_score,transport_weakness,rural_flag,rural_penalty,elderly_access_penalty,vulnerability_score,mismatch_raw,facility_national_count,facility_national_diversity
3023000000,대전광역시 대덕구,대전광역시,164379.0,7.999805327931184,32.80589369688342,30.0,2.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,3.0,2.0,786.0,320072.0,26.0,3.6,0.21900607741864836,0.4166666666666667,1.0,0.5526036131774708,99.44739638682253,0,0,100,63.66223127700287,65.13951087166797,6476,5
3011000000,대전광역시 동구,대전광역시,218505.0,8.603922107045605,32.494908583327614,30.0,9.0,5.0,0.5,0.2222222222222222,0.0,0.0,0.0,6.0,4.0,1.0,1.0,5.0,3.0,843.0,231720.0,115.0,7.0,0.320358801858081,1.1666666666666667,1.0,2.4442082890541976,97.5557917109458,0,0,100,62.11655514260558,63.503582781332945,6476,5
3017000000,대전광역시 서구,대전광역시,463601.0,9.944111423400726,25.019790725214143,30.0,183.0,6.0,0.25,0.13114754098360656,0.0,0.00546448087431694,0.0,4.0,3.0,0.5,1.0,3.0,3.0,1035.0,420907.0,2347.0,4.6,0.09922325447960638,15.5,1.0,49.88310308182784,50.11689691817216,0,0,40,23.751519766531434,63.62007007858741,6476,5
3020000000,대전광역시 유성구,대전광역시,371147.0,10.423093814580207,20.236456175046545,30.0,22.0,5.0,0.4444444444444444,0.045454545454545456,0.0,0.045454545454545456,0.0,9.0,3.0,0.8888888888888888,1.0,6.0,2.0,3131.0,1618044.0,282.0,10.2,0.2748237221370508,2.3333333333333335,1.0,5.993623804463337,94.00637619553666,0,0,40,44.857693484692795,62.86688708352567,6476,5
3014000000,대전광역시 중구,대전광역시,224581.0,8.612482801305541,32.87010032015175,30.0,32.0,5.0,0.5,0.21875,0.0,0.125,0.0,2.0,1.0,1.0,1.0,4.0,2.0,1428.0,242402.0,410.0,2.8,0.12467662001683134,3.0,1.0,8.71413390010627,91.28586609989372,0,0,100,58.72241536803893,61.28981560616853,6476,5
2644000000,부산광역시 강서구,부산광역시,153175.0,12.094010119144768,20.970132201730046,30.0,63.0,5.0,0.0,0.047619047619047616,0.0,0.06349206349206349,0.0,1.0,1.0,0.0,1.0,3.0,2.0,845.0,140000.0,1264.0,1.6,0.10445568793863229,5.5,1.0,26.865037194473963,73.13496280552604,0,0,40,32.92552687896572,67.37029866032827,6476,5
2641000000,부산광역시 금정구,부산광역시,205968.0,7.538549677619824,38.12679639555659,30.0,36.0,6.0,0.4,0.05555555555555555,0.0,0.027777777777777776,0.0,5.0,2.0,0.8,1.0,3.0,2.0,760.0,176219.0,723.0,5.6,0.2718868950516585,3.25,1.0,15.36663124335813,84.63336875664187,0,0,100,61.09660081776063,65.75629201193502,6476,5
2671000000,부산광역시 기장군,부산광역시,175273.0,11.428457320865165,27.97978011445003,30.0,5.0,4.0,0.5,0.0,0.0,0.2,0.0,1.0,1.0,1.0,1.0,7.0,2.0,1238.0,638700.0,100.0,2.4000000000000004,0.13692924751673108,1.0,1.0,2.1253985122210413,97.87460148777896,1,100,40,56.759612742881686,67.98542199191601,6476,5
2629000000,부산광역시 남구,부산광역시,254174.0,8.845515276936272,33.1729445183221,30.0,48.0,6.0,0.5,0.08333333333333333,0.0,0.0,0.0,8.0,4.0,1.0,1.0,2.0,1.0,714.0,94462.0,963.0,8.4,0.3304822680525939,4.166666666666667,1.0,20.46758767268863,79.53241232731136,0,0,100,51.86730439703436,66.49341800244899,6476,5
2617000000,부산광역시 동구,부산광역시,83432.0,5.370840924345575,40.0242113337808,30.0,48.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,255.0,43000.0,963.0,0.6000000000000001,0.07191485281426792,4.25,1.0,20.46758767268863,79.53241232731136,0,0,100,60.29342258786492,61.935233752579364,6476,5
