region_code,province,region_name,population,supply_score,demand_score,access_penalty,mismatch_penalty,culture_gap_score,risk_level,region_type,main_reasons,policy_recommendations,cluster
3611000000,세종특별자치시,세종특별자치시,391064.0,0.0,47.97165899124117,53.63443145589798,94.42514656557042,69.4,주의,시설·행사 부족형,문화시설 또는 행사 공급이 부족함; 월평균 문화행사 수가 낮음,작은 문화거점과 순회공연을 우선 배치; 월 2회 이상 기획 공연/전시 프로그램 편성,2
2871000000,인천광역시,인천광역시 강화군,69689.0,21.141541616462366,44.13637811929867,91.10980205692196,90.29848495208768,68.6,주의,고령층 교통취약형,문화시설 또는 행사 공급이 부족함; 월평균 문화행사 수가 낮음; 대중교통 및 시설 접근성이 취약함,작은 문화거점과 순회공연을 우선 배치; 월 2회 이상 기획 공연/전시 프로그램 편성; 찾아가는 문화버스와 셔틀 연계,2
4681000000,전라남도,전라남도 강진군,31746.0,22.66790864061457,42.68175430008148,90.93283654375418,91.64304390502564,67.6,주의,고령층 교통취약형,문화시설 또는 행사 공급이 부족함; 월평균 문화행사 수가 낮음; 대중교통 및 시설 접근성이 취약함,작은 문화거점과 순회공연을 우선 배치; 월 2회 이상 기획 공연/전시 프로그램 편성; 찾아가는 문화버스와 셔틀 연계,2
4146500000,경기도,경기도 용인시 수지구,369798.0,19.785903778998833,52.66369061288273,66.08563848840046,89.32569109799685,67.3,주의,시설·행사 부족형,문화시설 또는 행사 공급이 부족함; 월평균 문화행사 수가 낮음; 대중교통 및 시설 접근성이 취약함,작은 문화거점과 순회공연을 우선 배치; 월 2회 이상 기획 공연/전시 프로그램 편성; 찾아가는 문화버스와 셔틀 연계,3
4680000000,전라남도,전라남도 장흥군,34006.0,22.08499985552747,41.41453739564704,86.21169612580177,92.19508516391785,66.4,주의,고령층 교통취약형,문화시설 또는 행사 공급이 부족함; 월평균 문화행사 수가 낮음; 대중교통 및 시설 접근성이 취약함,작은 문화거점과 순회공연을 우선 배치; 월 2회 이상 기획 공연/전시 프로그램 편성; 찾아가는 문화버스와 셔틀 연계,2
4689000000,전라남도,전라남도 완도군,44238.0,24.426665042697977,42.33731663104786,87.2899078405191,92.74127193472245,66.3,주의,고령층 교통취약형,문화시설 또는 행사 공급이 부족함; 월평균 문화행사 수가 낮음; 대중교통 및 시설 접근성이 취약함,작은 문화거점과 순회공연을 우선 배치; 월 2회 이상 기획 공연/전시 프로그램 편성; 찾아가는 문화버스와 셔틀 연계,2
5213000000,전북특별자치도,전북특별자치도 군산시,255649.0,21.980518910985552,45.331327400462115,79.52022601690227,87.17406754498653,66.2,주의,고령층 교통취약형,문화시설 또는 행사 공급이 부족함; 월평균 문화행사 수가 낮음; 대중교통 및 시설 접근성이 취약함,작은 문화거점과 순회공연을 우선 배치; 월 2회 이상 기획 공연/전시 프로그램 편성; 찾아가는 문화버스와 셔틀 연계,2
4782000000,경상북도,경상북도 청도군,40058.0,26.135721348732268,43.59989968208413,86.35123749663887,91.8692452799205,66.1,주의,고령층 교통취약형,문화시설 또는 행사 공급이 부족함; 월평균 문화행사 수가 낮음; 대중교통 및 시설 접근성이 취약함,작은 문화거점과 순회공연을 우선 배치; 월 2회 이상 기획 공연/전시 프로그램 편성; 찾아가는 문화버스와 셔틀 연계,2
1147000000,서울특별시,서울특별시 양천구,422070.0,25.441449814126393,55.47213467450229,63.287819649269736,88.62660638884653,66.1,주의,시설·행사 부족형,문화시설 또는 행사 공급이 부족함; 월평균 문화행사 수가 낮음,작은 문화거점과 순회공연을 우선 배치; 월 2회 이상 기획 공연/전시 프로그램 편성,3
2771000000,대구광역시,대구광역시 달성군,252210.0,25.26249655064491,46.82399535432512,83.55706301629888,82.16570115883222,66.1,주의,시설·행사 부족형,문화시설 또는 행사 공급이 부족함; 월평균 문화행사 수가 낮음; 대중교통 및 시설 접근성이 취약함,작은 문화거점과 순회공연을 우선 배치; 월 2회 이상 기획 공연/전시 프로그램 편성; 찾아가는 문화버스와 셔틀 연계,2
